Rating,Description,Pros,Cons,Author Info,Resignation Reason
4,"Good company culture, compensation is lower than other tech companies","Good company culture and work flexibility. There is quite a bit of vacation days available to start, and 401k match is 50%","If you want to make good money, you should look at other tech companies. This is a good place to be if you want to finish out your career. Growth is largely dependent on your manager.","Verified User Current Employee H***** Supply Chain Planner - May 2, 2022",
4,Slow paced growth with lower compensation,Good work life balanceLeaders and engineers you work with are good.,"If you are part of a team that is partly in US, you might spend a lot of time on late night calls. Redmond teams tend to dominate product roadmaps.","Verified User Current Employee z***** Senior Program Manager II - May 2, 2022",
3,Bad salary,Good work life balance and chill and nice coworkers no micromanagement,"Bad bad bad pay, no stock refreshers of meaningful amount","Verified User Current Employee Q***** Software Engineer - May 1, 2022",
4,low benefits,this is my only choice. I'd like to work in google.,"To be honest, benefits is very low and work hour is too long.","Verified User Current Employee h***** Software Engineer - May 1, 2022",
1,Terrible compensation if you stay for a long time,The culture is good. Everyone on the team is helpful,Management doesn't care about compensation. They have clearly stated employees should walk with their feet.,"Verified User Current Employee v***** Software Engineer - May 1, 2022",
5,"Good compensation, Above average work-life balance, Excellent benefits",- Everyone manages and defends work-life balance- Benefits are numerous and well explained- Pretty quick ramp-up for new employees,"- Below average compensation- Tough to improve compensation through traditional, internal methods- Lots of institutional knowledge and acronyms","Verified User Current Employee r***** Senior Content Developer - May 1, 2022",
4,Ok Place,Excellent Work Life BalanceGreat Immigration teamGood tag when you want to switch,slow technology and development team switch is impossible at lower levelnew grads will have no team matching,"Verified User Current Employee a********* Software Developer II - May 1, 2022",
5,0 learning but great WLB,Great Work life balanceEmployees centric ManagementGood food. Cab facilities,No or 0 growth financially.Slowest growth Vertically.Not proper project planning.,"Verified User Current Employee D******** Software Developer II - May 1, 2022",
4,Good WLB but worst compensation,1. Control over what you do and when you do2. Management is good3. Free food,"1. Compensation is 50% of market. Doesn't matter how much you'd work hard or how big of a feature you'd release, they won't increase.2. Nowadays quality of Dev is decreasing.","Verified User Current Employee g***** Senior Software Engineer - Apr 30, 2022",
5,Great focus in personal growth,There are lots of opportunities for personal growth and room for you to learn what you want and follow your passion,Compensation could be better. It's not terrible but also not great.,"Verified User Current Employee f******* Software Engineer II - Apr 30, 2022",
4,Great work life balance and employee caring policies.,Great work life balance. Lot of flexibility in work. Supportive management,Average salary. Work is at little pace. Lot of d dependencies on other team which ends up delaying the delivery,"Verified User Current Employee d****** Senior Software Developer - Apr 30, 2022",
4,Opportunities to work on highly impactful projects; Great work culture and benefits,Opportunity to work on large scale projectsSmart colleagues Great work-life balanceGood professional growth,BureaucraticThings move slowly Slow growth Not known for paying high,"Verified User Current Employee K***** Senior Business Planner - Apr 30, 2022",
4,Great work environment,Work life balance is goodCoworkers willing to help each otherManagement respects employees,"Compensation is not top notch, definitely not the first choice for who is looking for a big package","Verified User Current Employee f*** Senior Software Engineer - Apr 30, 2022",
4,Great work culture,Work life balance Awesome management Supportive colleagues Very diverse workforce,Compensation is lowNot much of learning opportunities Potential boring tech - depends on your team though,"Verified User Current Employee z****** Technical Program Manager - Apr 30, 2022",
4,"Great wlb, everything else okay, awful comp",WLB is incredible. No issue taking time off and plenty of vacation time,Comp is at the low end . Seemingly no adjustments like many other tech companies are doing,"Verified User Current Employee k***** Software Engineer - Apr 30, 2022",
2,"Bad WLB, pay and career growth opportunities",It works good as a stepping stone so that you can get into better companies,WLBBad payVery hard to growOn call sucks,"Verified User Current Employee E********* Software Engineer - Apr 30, 2022",
4,Good culture,"Good momentum in cloud and enterprise business results, good office.",Not much of perks and lack of free lunch provided,"Verified User Current Employee Q***** UI Designer - Apr 30, 2022",
4,Diverse oppurtunities with empathetic leadership,"* Decent WLB with teams/orgs doing diverse work. * Leadership promotes WLB, mental health, cooperation among colleagues/teams etc.* Good onboarding experience. * Focus on employee learning etc.",* Compensation is ok. Not good among FAANGs.* WLB can take a hit in some orgs,"Verified User Current Employee h********* Senior Software Back End Engineer - Apr 30, 2022",
4,New culture and great WLB,A good radical change in company culture. A great work life balance on some teams.,A lot of processes. Things move slowly. It can be really hard to get promoted in some teams.,"Verified User Current Employee l****** Senior Engineer - Apr 30, 2022",
4,Overall it's an ok package,"Wlb for sure, can work on some decently interesting projects","Compensation not competitive, don't value current employees by giving new hires better packages.","Verified User Current Employee o***** Software Engineer II - Apr 29, 2022",
4,"Great place to work, but low compensation compared to others",Great WLB. Everyone is extremely smart and chill that I've worked with. Clear path to promotions and managers are easy to talk to.,Compensation is low compared to FAANG companies. New building in Atlanta don't have reserved seats currently.,"Verified User Current Employee g********* Software Engineer II - Apr 29, 2022",
5,Great Culture,"Great culture, which shows from the number of people that spend their entire career at MSPay is comparable and people are great to work it",The company is always second in rolling out initiatives and generally follows its competitors.,"Verified User Current Employee f****** Recruiter - Apr 29, 2022",
4,Good company to work in. Pay is not great but will have piece of mind,* Great culture* People are welcoming* Good career n learning growth,*Pay is not great* Work life balance is good unless u r in azure,"Verified User Current Employee t********* Software Engineer II - Apr 29, 2022",
4,Good to rest and best,1. High impact projects2. Wide scope to work on what you like3. WFO flexibility,1. Compensation below FAANG2. Slow paced3. Few deadend jobs,"Verified User Current Employee e*** Software Engineer - Apr 29, 2022",
3,WLB is Good but salary sucks,Good WLB and some benefits (not salary)you can put just 10 hours a week and get work done,Salary sucksmiddle management doesn't know what to do and keep asking to make big impact D&I contribution is considered bigger impact than work to improve product,"Verified User Current Employee f***** Software Engineer - Apr 29, 2022",
4,"Great strategy and growth, but tons of employee dissat","Microsoft has a clear strategy for success that is working well, and the top-level execs are executing on it successfully.",Leads and middle managers are just over promoted ICs who are terrible at management. There's constant political infighting. Comp hasn't stayed competitive vs the industry. All of this is causing Microsoft to hemorrhage talent - my engineering team has lost 6 devs (from a team of 20) in 4 months.,"Verified User Current Employee k******** Principal Program Manager - Apr 29, 2022",
3,"Good place to work, but hard to progress in engineering",culturesome orgs have great leadershiphard to climb outside of US,comp is poor to compared to other techshard to progress in some subs,"Verified User Current Employee J***** Senior Product Manager - Apr 29, 2022",
5,Great place to work,Great work life balanceExcellent compensation and perksNice campus,Compensation could be betterEquipment for employees had unnecessary restrictionsShould have better work from home policy,"Verified User Current Employee K***** Software Engineer III - Apr 29, 2022",
3,Good culture,Work life balancePeopleTech stackCompany outlookGood insurance,CompensationVery low RefresherGrowth opportunities Some teams not so much wlh,"Verified User Current Employee l*** Senior Software Engineer - Apr 29, 2022",
3,Not as exciting as I hoped (intern),- name brand gives fantastic resume value- work can reach a super wide audience- good perks,"- wayyyy too much bureaucracy, super slow to get things done- worse WLB than what people would commonly think of in Azure","Verified User Current Employee k******** Software Engineer - Apr 29, 2022",
