Rating,Description,Pros,Cons,Author Info,Resignation Reason
5,Good company,- Great company with awesome WLB and culture.- Smart people all around and many learning opportunities.- Promotes internal mobility,- A lot of legacy codebases- Working with the terminal- RTO- Flat structure for engineering - Pay not as competitive as FAANG,"Verified User Current Employee U***** Software Engineer - Apr 2, 2022",
3,"no growth, boring work",most weeks you can coast and work under 10 hours,internal technology sucks.constantly getting called late at night.join if you want to spend an entire quarter doing the same boring work over and over again and learn nothing,"Verified User Current Employee h***** Software Engineer - Apr 1, 2022",
3,Terrible work life balance,"Good learning opportunities through guilds and classes, smart people, excellent internal mobility support",Evening and weekend work and overnight calls are normalized; asking for recognition of family or non-work responsibilities is often shamed; infrastructure concerns are often neglected,"Verified User Current Employee h***** Senior Engineer - Apr 1, 2022",
3,"Some good, mostly bad",Good work life balance. Most people come here to coast.,Compensation and growth is not aligned with what the company preaches.,"Verified User Current Employee X***** Product Manager - Apr 1, 2022",
5,"Great people, great work life balance","Benefits are great, people are great and friendly, work life balance is also great, the work can be pretty good","Maybe not the best place to advance your career, can get stuck working on legacy code base, also some TLs are better than others","Verified User Current Employee J***** Senior Software Developer - Mar 31, 2022",
3,Excellent benefits. That's about it,Great WLB. Top tier benefits. Stocked pantries. Learning opportunities. Collaborative environment.,Constant reorgs. No innovation and no incentive to innovate. Pay is lower than market rate but just enough to keep most from looking elsewhere. Lots of time spent explaining and planning and not on execution of ideas.,"Verified User Current Employee S***** Data Analyst - Mar 31, 2022",
2,This company is sick,Fancy buildingNice TL and managerNon-unlimited PTO. As we know unlimited PTO is begging for PTO...,"It's no longer the Bloomberg of 2017-2018. Not the place that people feel proud of any more.I think the company just simply hates us. While he is the No.1 philanthropist, engineer teams lost the good performers crazily the past 2 years, mostly due to money issue. It's like saying I'd rather throw away money than giving it to you. I don't believe this company will die soon but let's see how weak it will be with more ok people but fewer and fewer good ones.","Verified User Current Employee l***** Senior Software Engineer - Mar 31, 2022",
4,"Great wlb, ymmv with tech and management","You could do well or you could coast. Choose your adventure. Each group has its own culture and challenges. Overall, a good balance between tech, comp, wlb, nyc.",Could end up getting bogged down doing just legacy stuff. You could be an expert on things that matter to no one outside the company.,"Verified User Current Employee e** Senior Manager, Engineering - Mar 31, 2022",
4,Had a pleasant journey,Good wlbPay is relative to your performanceI had very good managersGood cultureI worked on systems handling big load which is good on the resume,You need to make sure you know want and make managers acknowledge it,"Verified User Current Employee K***** Software Engineer - Mar 30, 2022",
4,Decent place to work with a few caveats,Great work life balanceGood atmosphere and very helpful colleaguesEasy to switch team if neededBenefits are standard/okay,Tech stack in general could be old and mainly in house Compensation growth could be slowLots of old code,"Verified User Current Employee b***** Senior Software Engineer - Mar 30, 2022",
4,Great Culture/People | Good WLB | No Perm-Remote,"- Good Benefits - WLB is great depending on department, don't feel like you're looking over your shoulder to get work done- D&I is a company-wide focus- Comp raises can be above average to good for top performers- Colleagues are great to work with for the most part, easy to build connections","- Comp is average at best, but definitely below market based on YOE dependent on your role- D&I is becoming too corporate again since leadership changes in D&I in 2020/2021- Benefits (Health, Vision, Dental) are dwindling - spousal benefits, new co-pays, etc., are some examples- No full-time remote option (possibly only for extenuating circumstances on a person-to-person basis)","Verified User Current Employee R****** Project Manager - Mar 28, 2022",
4,Great company culture but promotions are slow,"Friendly co-workers, strong & diverse culture, good work life balance","Slow career progression, limited scope and scale, slow moving company overall","Verified User Current Employee z***** Research Analyst - Mar 28, 2022",
3,"Good for out of college, bad after 3 years (data department)",WLB fairfree snacks/foodgood starting comp then tails off dramatically after a few years for IC,"0 career growth opportunities for performing analysts. Everyone good leaves after 3 -5 years because there is no where to rise besides a management track with limited spots. Mgmt doesn't drive data decisions, key IC's do it. And if you're a key IC you are the same Analyst title for your entire career. No bonuses for ICs either.","Verified User Current Employee p********* Business Data Analyst - Mar 28, 2022",
4,Good WLB,Good WLB. Get to work on great product. Nice people. Would recommend overall.,Pay is low for the industry but culture is ok.,"Verified User Current Employee w***** Software Engineer - Mar 26, 2022",
4,good wlb,"pretty chill environment, good training and comp for new grads, nice people","management really wants return to office. lots of proprietary/legacy tech if that's not your thing (but there are teams working on newer stuff), comp doesn't scale as fast as other companies","Verified User Current Employee P***** Software Engineer - Mar 25, 2022",
3,Good work life balance,"Nice offices, not to stressed. Food pantry. Good health insurance.","Low pay, no IC career growth. A little old fashioned. Dated tech stack","Verified User Current Employee P***** Senior Software Engineer - Mar 25, 2022",
3,Great wlb but not much growth,Great wlbPeople are very friendly PermHigh job security,No growth in tech and compLegacy service No career growth,"Verified User Current Employee N***** Software Engineer - Mar 25, 2022",
4,Great WLB and culture,-Work life balance-Culture of volunteering and team outings-Decent path to team lead-Internal trainings,-Comp is low compared to peers -Bloated middle management-Slow moving processes,"Verified User Current Employee a******* Engineering Team Lead - Mar 25, 2022",
4,Good Stepping Stone,- Great WLB- Great benefits- Very unlikely to get fired,- Not as competitive in terms of compensation as other prestigious companies- Lots of legacy technology- Lots of teams working on migrating that technology,"Verified User Current Employee V***** Software Engineer II - Mar 24, 2022",
4,A good start point,Job Security Free food Elegant office and equipmentLot of people to learn from People are approachable and nice,"Lots of work, I do not see good work life balance In multiple teams. understaffed in multiple teams.So many unproductive meetings Forced RTOLimited amount of documentations","Verified User Current Employee a***** Program Coordinator - Mar 23, 2022",
