Rating,Description,Pros,Cons,Author Info,Resignation Reason
3.0,"Great benefits, but a lot of politics",Intuit as a company is built by its values and also makes sure the DNA is infused in every individual working for the company.The company benefits are all well thought to give maximum benefits for the employees. Intuit never think of cost cutting when it comes to employees benefit and one can feel proud about working here. The spotlight systems encouraged in the company makes every individual to stay motivated and bring thier self to work every single day.,Intuit has great policies but there is no transparency in implementing them in india office. Leaders applies the policies selectively to decide who can grow and who cannot grow. There is a bias that plays a higher role in deciding the progression. The culture of the company is fast changing where there is no work life balance. The shift to devops culture is burning out engineers a lot. Intuit is top heavy and there are more managers than the engineers who can work on ground and code. There is not any respect for people who are actually working but undeserved engineers are consistently promoted and they bring down the productivity of engineers.,"Verified User Current Employee  F*****  Software Engineer - Mar 28, 2021",
4.0,Limited technical growth,"Good work life balance, good compensation and great employee benefits.",Limited technical growth in the job. Leaders are not great.,"Verified User Current Employee  v***  Software Engineer - Mar 27, 2021",
4.0,Good all around,Good opportunity options and room for growth. One does have to be a self starter but opportunity is there. Good immediate management and opportunity to do work that affects many people. ,Some aspects may feel legacy since product is mature. Not much else. ,"Verified User Current Employee  c*********  Software Engineer - Mar 26, 2021",
4.0,Depends on your team,"Overall culture is great and very supportive of employees.Lots of internal mobility opportunities, they really want to keep you happy if they like you.Plenty of opportunities to make a difference if you're really motivated and supported by your manager.","Seasonal work can be brutal. For a few months it's all stress then for the summer it feels like you barely work at all so you stay and then tax season is killer again, etc.","Verified User Current Employee  a*****  Software Engineer II - Mar 26, 2021",
4.0,"Thoughtful leadership, nice WLB","Great Work Life Balance, Nice People => thoughtful leadershipLove the work though",Kinda politicalNot the best coding practicesHigh salary for swe position but lower as compared to bay area,"Verified User Current Employee  i*****  Software Analyst - Mar 25, 2021",
3.0,Not a good place for finance right now,"People are great to work with, easy to talk to generally.","They lower your level and keep you there for a long long time!  Systems and data are a mess, will take another two years or so to get their act together if they have the conviction to do so.","Verified User Current Employee  X*****  Finance - Mar 25, 2021",
4.0,Only good for WLB,"The work life balance and benefits, financial tech, good culture, genuinely nice people","Slow paced, people take advantage of this and go slower, bottle necks work process","Verified User Current Employee  w*****  Product Designer - Mar 25, 2021",
4.0,"Great at some, sucks at some","Work life balance, casual working style, you get rewarded well if your are in the right team","Managers are not technical, unfairness in promotions and recognitions, too much empire building, moving people around without their consensus","Verified User Current Employee  F*****  Engineering Manager - Mar 25, 2021",
3.0,Not a real tech company,"Intuit pampers its employees, internal mobility options are good, code is on latest tech","You will make it here if you are good at Politics, and you speak well","Verified User Current Employee  s*****  Mobile Software Architect - Mar 24, 2021",
4.0,A lot of potential but fighting to overcome legacy,Great business outlook. Interesting problems. A sense of change in the air,Legacy systems. Some senior legacy people who are too political,"Verified User Current Employee  i*******  Senior Business Leader - Mar 24, 2021",
4.0,Culture is good. But bad for career growth. ,Decent work life balance. But many team has bad work life balance like UIP team,Less technical people. UIP team principle engineer  and manager are very less technical and only talk about eta. ,"Verified User Current Employee  g*******  Data Engineer - Mar 23, 2021",
5.0,"Completely unstable, short sighted, and no WLB balance ",People care about the customers but they care about their internal politics and agendas first. ,"Every other month, there is a re-org, but still seem to reward and promote the wrong type of leaders which hinder Intuit from becoming a truly great place to work with a solid product. WLB is shot now. Working late nights and weekends. The culture has completely deteriorated in the past 3 years. Avoid. ","Verified User Current Employee  p******  Product Designer - Mar 23, 2021",
4.0,Great work life balance,Good benefits and pay and appreciation in stocks is the best thing,Poor strategy and management. Leadership is like headless chicken. They need to clean their house,"Verified User Current Employee  N*****  Director, Data Analysis - Mar 22, 2021",
2.0,"Lack of leadership, poor WLB, ",Benefits package Crisis management (during pandemic)Can't think of anything else at the moment ,"No WLBPoor leadership (peeps are in roles with no qualifications or related experience, they just keep on moving people around each FY)Had like 3 different managers in my first 2 yearVP leadership does not trust its team No resources, low in Headcount, it's always a struggle Culture is kind of odd, it's like the hunger games in certain teams","Verified User Current Employee  6*******  Product Manager - Mar 21, 2021",
4.0,Very good WLB and company culture,"- Really good WLB- Pretty good management- Pretty decent perks, other than compensation, I think it would be similar to FANG",- Politics are definitely a thing here- Compensation is not too good compared to other large tech companies,"Verified User Current Employee  k*****  Software Developer - Mar 20, 2021",
4.0,"Good company, great benefits",Great benefits. Good long term growth focus. Phenomenal stock price. Good people. Good career growth for engineers. Generally do right by their people. ,Work life balance is a big challenge. Leaders struggle to prioritize the most important work. ,"Verified User Current Employee  m*****  Engineer II - Mar 19, 2021",
4.0,Great company,"Work life balance, Benefits, Small business impact, Good company growth, RSU refresh ","Some teams are political, hard to grow after certain point ","Verified User Current Employee  W*****  Software Engineer - Mar 19, 2021",
4.0,Team culture is good but hire and fire company,"Good supportive team culture, good benifits, average work life balance","Bad management, Poor job security. Unfair pay policies and promotions.","Verified User Current Employee  g******  Data Engineer II - Mar 19, 2021",
1.0,It used to be great now we're becoming like amazon with less TC,"Long hours but easy work, if you get lucky you might get a good team that's chill. Most likely you'll end up with a team dealing with politics ",Lots of politics and TC not as good as Bay Area companies,"Verified User Current Employee  g*****  Software Engineer - Mar 18, 2021",
4.0,Great company,Work life balanceTreats employees same as customersGreat perksHas lot of Potential to grow ,Less aggressive managementNo of Years of exp take more priority over work delivered for a promotion,"Verified User Current Employee  H*****  Senior Software Engineer - Mar 18, 2021",
5.0,"Good WLB, frequent reorg","Supportive managers, good teammates. Ok benefits. It is acceptable to talk about support needed to manager, which is great.",Cross-team communications can be painful. Frequent reorganizations and team changes.,"Verified User Current Employee  Y******  Product Manager - Mar 17, 2021",
4.0,Great place good culture ,"Good products, nice environment for work, good work life balance","Beware of mgmt , career growth only on good projects ","Verified User Current Employee  I*****  Principal Engineer - Mar 17, 2021",
5.0,Supportive Team Culture,Collaborative cultureSupportive teamThe how is just as important as the whatOpportunities to move to different areas of the company if you invest the time,"While it is beneficial that we are collaborative, it can also slow us down with the significant number of meetings and op mechs that consume much of our time ","Verified User Current Employee  E*****  Customer Experience Manager - Mar 16, 2021",
5.0,Tech savvy company,Great company to learn and contribute on Technology as the company wants to constantly innovate,At times it might feel like high pressure environment due to tight deadlines.,"Verified User Current Employee  c*****  Software Applications Engineer - Mar 16, 2021",
3.0,"Great work life balance, tough career growth","Intuit has a pretty good work culture, really great health and wellness benefits, vacation, working from home has been tough but they've done a good job trying to make it easier",It's really hard to grow as a developer here and teams are very siloed.,"Verified User Current Employee  y*****  Software Engineer II - Mar 16, 2021",
4.0,"Reputable company that gives decent pay, but career growth opportunities are limited. ","Provides great benefits. Pay is decent, management cares about you. There is transparency in decisions and direction the team is going. ","Opportunity to learn new technology is rather limited. Also, the yearly salary increases is paltry. Over time, you'll end up getting paid less than new hires who are at lower levels. ","Verified User Current Employee  c*****  Software Engineer - Mar 16, 2021",
4.0,Great work life balance but nowhere a match in compensation,Great BenefitsWork life balanceWork load is manageable401k 125% match,Not very distinguished engineers you can learn fromNot good at compensations,"Verified User Current Employee  h*****  Software Engineer II - Mar 15, 2021",
5.0,Great place,Been with the company for half a year and its amazing so far. Great career growth and you get to work with the top notch technology and smart people.,Too many meetings like any other companies but they r trying to fix that,"Verified User Current Employee  e*********  Software Engineer - Mar 11, 2021",
3.0,Pretty good overall,"Great benefits, good people, good for family, not too pushy",Tech could be better and sometimes can be too much politics working cross team,"Verified User Current Employee  D******  Engineer - Mar 9, 2021",
5.0,"Great company, great leadership ","Management, WLB, compensation, talent development, culture, values, people, sites, benefits ","More US-centric, promotion, removing barriers, quick decisions, many zoom meetings ","Verified User Current Employee  m*******  Human Capital Analyst Manager - Mar 8, 2021",
5.0,Good work life balance,"Nice people to work with, good benefits. Management cares about employees","No growth, very low stock refreshers, could do better on stock refreshers.","Verified User Current Employee  g***  Engineer - Mar 8, 2021",
4.0,Vgood Work life balance company,"Good work life balance, lot of great perks and employees are really good","So far didn't find anything specific, Since I have joined the company very recently","Verified User Current Employee  J*********  Software Engineer II - Mar 8, 2021",
4.0,Overall good culture ,A lot of training resources if you want to learn,"Chaotic from time to time, work life balance doesn't justify the pay anymore","Verified User Current Employee  L*****  Senior Software Engineer - Mar 5, 2021",
3.0,Great work life balance and visibility,"Great work life balanceWork less and stay in your same role or work a lot and get recognition, promotions and great visibilityLots of employee perks, swag, opensource projectsNice people",Less compensation Sometimes management can get tricky and convoluted as there are so many products,"Verified User Current Employee  c*********  Software Engineer II - Mar 5, 2021",
4.0,Great place to be ,"Customer focused, freedom to use new technologies. Multiple employee friendly benefits.","Long hours , multiple meetings, ambiguity in ownership leads to uncertainty.","Verified User Current Employee  k*********  Principal Engineer - Mar 4, 2021",
