Rating,Description,Pros,Cons,Author Info,Resignation Reason
3.0,"Good benefits, bad wlb","Company has Good benefits. Insurance, well stocked pantry, free lunch","Below par compensation as compared to other product companies , really bad wlb","Verified User Current Employee  j******  Software Engineer III - Apr 7, 2022",
4.0,Work life balance ,Good work life balance Company provide decent compensation and bonus,"Depending on team or manager you might see politics, partiality and favoritism","Verified User Current Employee  r*****  Data Analyst - Apr 7, 2022",
3.0,Politics and chaotic,I did not find any while my stay there. :(,Low payPoliticsNo engineering driven cultureMeeting in US time zone,"Verified User Current Employee  m**********  Software Engineer III - Apr 7, 2022",
4.0,Decent Compensation ,compensation is decent and work life balance in some projects ,"management can be better, scope of work is not defined","Verified User Current Employee  s****  Software Developer III - Apr 7, 2022",
4.0,"Great culture, lagging pay/benefits ",Awesome culture in which teams build each other up and pursue a common goal.,Stagnant growth opportunities with blurred lines between favoritism and meritocracy.,"Verified User Current Employee  H*****  Operations & Logistics Manager - Apr 6, 2022",
3.0,"Decent wlb, modest pay, meh work culture","Wlb is decent by bay area standards with few weekend work. Pay is on lower side for equity. Work culture is team based - mine is good, but have seen other teams slog for little gain",Inconsistent decision making. Too many heads with opinions on one project and finalizing stuff takes ages more,"Verified User Current Employee  r*****  Manager II, Distribution - Apr 6, 2022",
5.0,Reasonable work life balance,"With WFH policies extended forever, it does seem possible to maintain a work-life mix",The WFH situation basically means you're always available to assist with any issues,"Verified User Former Employee  n***  Manager I, Distribution - Apr 6, 2022",Was not the best fan of the situation there. Moving on.
4.0,Good WLB,- Option to switch between multiple teams- Growth in high visibility teams- Lot of new initiatives ,- Politics - Average Compensation - Lot of Re-orgs in the past years,"Verified User Current Employee  Y********  Product Manager - Apr 6, 2022",
3.0,Okay,Good work life balance depending on teamSome really smart engineersUnlimited PTO,Not much care for employeesBarely any holidaysLow compensation Inexperienced managers,"Verified User Current Employee  z*****  Software Engineer - Apr 6, 2022",
3.0,Great wlb,Wlb is good.perks are average. Team is decent and helpful ,politics. No good projectsNo clear vision of org. No support from cross team ,"Verified User Current Employee  d*****  Data Scientist - Apr 6, 2022",
5.0,Great place to work,Good work is done across some of the teams.Good work life balance,"Team dependents, few of the teams are really good and few work is not that good ","Verified User Current Employee  H*****  Engineer - Apr 6, 2022",
3.0,Meh - team dependent ,Great Wlb. You can easily become a lifer on certain teams. ,It can be hard to get promoted after a certain level. ,"Verified User Current Employee  a********  Software Engineer - Apr 6, 2022",
4.0,Great work life balance if you are an IC,"Good career growth, fringe benefits are nice, pay perks are average ",Too much beureocracy at top level especially at IDC. Too much emphasis on hiring from outside,"Verified User Current Employee  r********  Staff Engineer - Apr 5, 2022",
3.0,Overall average,"Cab facility, stuffed pantry, free food. I can't see any good benefits here though","Average salary, less promotion, politics in leadership, and promotion given based on politics","Verified User Current Employee  D*******  Staff Software Engineer II - Apr 5, 2022",
4.0,Good company ,Great work life balanceGood projects to workOverall nice facilities ,Slow process. Lots of ifs and buts. Very high attrition in USA,"Verified User Current Employee  z********  Senior Software Engineer - Apr 5, 2022",
4.0,OK,Opportunity to advance in career.Unlimited PTO.Build your network here (interact with many people).Interesting problems. Easy to see your impact via a company that touches so many lives and customers.,"Leadership can go either way: very good or extremely bad. I've had my share of managers at Walmart that were amazing, but also managers who were downright nasty leaning to being racist/sexist.General pressures from top to hit certain numbers or growth can sometimes be stressful.Big 6/Black Friday and holiday season tends to be tiring with all hands on deck mentality.","Verified User Current Employee  n******  Business Development - Apr 4, 2022",
5.0,Good work/life balance and good culture in general,There are more nice people here than at other companies,Decisions could be made politically and one has to navigate that well,"Verified User Current Employee  H*******  Strategy Director - Apr 4, 2022",
4.0,Good vibe as of now,Decent salary & good n number of benefits ! Still exploring,I would say favoritism I guess ! not really sure just observed,"Verified User Current Employee  s********  Senior Software Engineer - Apr 4, 2022",
5.0,Great work life balance ,Tech stack is good and work culture is awesome .good company to work for ,"Management is not that great , planning of work is  poor","Verified User Current Employee  z*****  Software Developer III - Apr 4, 2022",
3.0,Mostly getting bogged down by bureaucracy and petty politics,"Good pay for the most part, people not Darwinian aggressive and ready to crush you at a moment's notice","Too much petty politics, stagnant pay hence lot of attrition off late Everything run with blessing from Bentonville Struggling to be a tech company with the old school mindset driven from Bentonville ","Verified User Current Employee  p*********  Director Business Operations - Apr 2, 2022",
5.0,Good Experience,If you want to learn how retail works this is a good place.,"Not a tech company at its core, at least while I was there. ","Verified User Former Employee  o*****  Product Manager - Apr 2, 2022",Better pay and growth opportunities elsewhere.Culture wasn't really friendly to long term thinking but just copy what the us is doing as quickly as possible. No centralized management of tech in NA so it was inefficient.
4.0,Good WLB ,Good WLB and nice people to work with on projects at scale,Developer comp not updated as market has climbed to keep good talent,"Verified User Current Employee  z*****  Engineer - Apr 1, 2022",
4.0,Great place to work with good benefits,"Great benefits, smart peers, nice policies, best in industry compensation ","Hectic work life balance, not so good information flow, not so great management ","Verified User Current Employee  y********  Data Scientist - Apr 1, 2022",
3.0,I enjoy working in my team. I love the kind of work we have. WLB is good ,Awesome ManagerGreat team all team members are very helpfulGreat culture in the team,Low CompLess benefits compared to most of the bay area companies,"Verified User Current Employee  r****  Software Engineer II - Apr 1, 2022",
4.0,Good tech to learn for frontend,Good Technologies for learningPay is decentGood benefitsFriendly people to work with,Unstable managementToo much restructuringWork life balanceCareer will be stuck after a point,"Verified User Current Employee  C*****  Senior Software Engineer, Web Development - Mar 31, 2022",
5.0,WLB vary according to your team,*So far WLB has been amazing*Opportunity to grow*Fortune 1 company,*Sloooooow and a lot of red tape*Compensation is  when compared to other tech jobs,"Verified User Current Employee  T*****  Software Engineer II - Mar 31, 2022",
3.0,Excellent employee benefits ,Employee benifitsMobile handset reimbursementMedical insurance for family and,Tech stack in some teams might be legacy.Agile process needs improvement,"Verified User Current Employee  w*****  Software Engineer - Mar 31, 2022",
