Rating,Description,Pros,Cons,Author Info,Resignation Reason
4,Good company but not for DS,Great compensation and refreshers.Prestigious company that can help you down the line.,"In most cases, engineering and design run the show. If you’re in DS, it might not be the best place for you.Poor infrastructure.Not good WLB. (note: experiences at apple are very team & org dependent) ","Verified User Current Employee U***** Data Scientist - Apr 22, 2022",
3,"Good pay, everything else is pretty bad","Teammates and even vendor resources were great, but I can't say the same about management.",Lots of politics and very corporate. No remote even if your entire team is distributed. Hard to get anything meaningful accomplished with endless meetings and people constantly talking things over for hours without making decisive decisions. This is in IS&T so no surprise I guess.,"Verified User Current Employee f***** Lead Software Engineer - Apr 22, 2022",
4,Good work life balance,"Work life balance, nice teammates, own projects, no on calls ","Legacy code base and framework only used by Apple, return to office","Verified User Current Employee m***** Software Engineer - Apr 22, 2022",
4,Great place for veterans or new grads,You get to work on shipping products. Great to get some experience under your belt as a new grad,Top down culture Slow pace of projects but many projects at once,"Verified User Current Employee x*** Senior Software Engineer - Apr 21, 2022",
5,Great WLB and compensation,"We have good WLB in our team. The compensation has been great, too, partially because of stock appreciation.",I see stagnant growth after ICT4 and no clear trajectory to become a manager. We have a secretive culture that sometimes hampers growth.,"Verified User Current Employee F***** Software Engineer III - Apr 21, 2022",
4,Tough place to work,Great pay. Managers are technically very solid. Lots of responsibility.,Too much focus on demos and presentations. Lacking in dev infrastructure and tooling. Lack of benefits. Very top down culture and feels more like a bureaucracy.,"Verified User Current Employee C***** Engineer, Senior - Apr 20, 2022",
4,"Great benefits and company trajectory, but individual career progression hard","Benefits (Comp, employee discount, ESPP, health centers on campus, two week long holiday shutdowns)Brand value on resume","Career growth opportunities hard unless you get lucky (in the right place at the right time), even if you get exceed expectations each reviewExtremely political Employees feel under valued and insignificant ","Verified User Current Employee R***** Product Manager - Apr 20, 2022",
4,"Good career growth, bad work life balance",Opportunity for career growthBenefits and discountsCampus is beautiful,Work life balance and CultureNo clear bonus structureRun too lean on employees,"Verified User Current Employee N***** Business Systems Analyst - Apr 20, 2022",
3,Horrible work life balance,Great pay once overtime kicks inStock discount Company discount Health insurance,No room for growth hard to get promoted Work horse/pack mule mentality Long hours Lots of overtime ZERO WORK LIFE BALANCR,"Verified User Current Employee a***** Recruiting Coordinator - Apr 20, 2022",
5,Depends on your group,Good pay especially for hardwareVery talented colleagues around you,"WLB, pay and bonus, and culture is very group dependent ","Verified User Current Employee R***** Hardware Engineer - Apr 19, 2022",
