Rating,Description,Pros,Cons,Author Info,Resignation Reason
4,Good WLB,Respect WLB. Good for people with personal / family commitments. Great benefits.,Lots of silos. Hard to get real transferable skills. Not an environment where you have to fight for success.,"Verified User Current Employee E***** Operations Analyst - Apr 10, 2021",
4,Great wlb,"Great benefits, great culture, great. Work life balance is great","Not much room to grow into management positions, projects moving slowly","Verified User Current Employee i***** Software Engineering - Apr 9, 2021",
5,great place to work,interesting problems at scalegreat perksfree foodstock price goes up,"lots of bureaucracy, slow decision making, and tons of politics","Verified User Current Employee p******* Software Engineer - Apr 9, 2021",
2,"Operates like still a start up, but then also too bureaucratic","Benefits, cool projects, perks when we could go in the office for","Bad, bad managers and inefficient processes that haven't changed in years.","Verified User Current Employee Y***** Program Manager - Apr 9, 2021",
5,Great work life balance,"Smart people, nice culture, a lot areas to explorer, good work life balance","Had some level of beurocracy, hard to get things done.","Verified User Current Employee B***** Software Engineer - Apr 9, 2021",
5,Great perks,Innovative company with great products. Fun environment that rewards those that excel.,Limited higher level roles. So sometimes difficult to get promoted after a certain level.,"Verified User Current Employee P****** Associate Account Manager - Apr 9, 2021",
4,Losing its charm,Work life balance and benefits are quite good. You learn a lot as an engineer.,Promo system is broken. Top performers are not rewarded and are forced to coast.,"Verified User Current Employee s**** Software Engineer III - Apr 9, 2021",
4,Google is big so highly dependent on which team you joins.,"great colleagues and mentors, great perks, good work life balance esp if you have been here for a while.","slow career progression, things have to move more slowly because of the scale that we operate at.","Verified User Current Employee s**** Product Manager - Apr 9, 2021",
4,Work life balance is much better than an avg software company.,Inclusive culture. Great perks. The Tag has value! Very smart people.,Every one is obsessed about levels. It all depends on the projects you get and your manager.,"Verified User Current Employee p******** Software Engineer III - Apr 9, 2021",
4,"Great WLB, Okay Comp",Amazing Work Life BalanceGreat CultureCoworkers are smart,Comp is okayishNot a lot of interesting workPerformance evaluation is very random,"Verified User Current Employee m***** Software Engineer - Apr 9, 2021",
5,Good,Good company with great culture smart people around me to learn from,Slow and long prep for promo compared to other smaller companies,"Verified User Current Employee k**** Software Developer - Apr 9, 2021",
5,Nice place to grow,- strong engineering- smart and humble peers- nice rewards,- beaurocracy slows down things- compensation is lower- not much perks,"Verified User Current Employee W***** Software Engineer III - Apr 9, 2021",
4,Best company to be if you want to cosst,Amazing WLBGood compHands off managersVery smart and competent co workers who do the right thing,Constant reorgs/reprioritizations make it hard to get promoReally slowLots of red tape,"Verified User Current Employee g******* Software Engineer - Apr 9, 2021",
5,WLB is good,WLB is pretty goodPeople are smartFree food and lots of small perks,Lacking growthCompensation is not top any moreAll internal tools,"Verified User Current Employee J***** Software Engineer - Apr 8, 2021",
5,Great work life balance,Work like balanceNice perkGood teammatesFlexible timeGood comminity,Less grow opportunityToo many perf Pace is slowWord,"Verified User Current Employee m***** Software Engineer - Apr 8, 2021",
5,Best place I've ever experienced,"Good people, good food, good comp, good work life balance",Company is too big. Promotion opportunities have been decreasing.,"Verified User Current Employee t***** Software Engineer III - Apr 8, 2021",
4,"Good culture, slow moving giant",Very comfortable working environment from the culture to the campus,Promotion is primarily driven by politics and can create a culture that's more focused on career advancement than productivity,"Verified User Current Employee a***** Product Marketing Manager - Apr 8, 2021",
3,Tech focused company and still growing fast,Tech sophisticated Free food Smart people A lot of reckless drivers in the parking lot I,Lots of jerk and gooseholes Promotion is slow Non portable skill set,"Verified User Current Employee P*** Software Engineer - Apr 8, 2021",
5,Great work life balance,"Great work life balance, great people (mostly) in your team.",Can think of any. Maybe difficult to promote from internal relatively.,"Verified User Current Employee M******* Technical Solutions Consultant III - Apr 8, 2021",
4,Chilled,"Good wlb, decent benefits, with good team fit hard to get fired",Perf driven culture and lackluster senior leadership. Engineered entitled af while being mostly mediocre.,"Verified User Current Employee F***** Operations Program Manager III - Apr 8, 2021",
4,"Large company, with lots of opportunities",Get to collaborate with many teams and learn a lot from awesome colleagues. Free food is also great.,"Compensation is not competitive in tier-1 companies, promotion is slow.","Verified User Current Employee J***** Research Engineer - Apr 8, 2021",
4,Great WLB. Slow career growth,Office perks.Best office one can ask for. Food and others,Slow growth.Takes forever to get promoted. Atleast for me.,"Verified User Current Employee S****** Software Engineer II - Apr 8, 2021",
4,Good place to cruise,Good people and strong emphasis on employee happiness. Benefits are good,Slow decion making and overall pace means people can cruise. Process driven. Creer progression can be slow.,"Verified User Current Employee n***** Software Engineer III - Apr 7, 2021",
4,Big company getting bigger,Great perksStock growthYou can work as much or as little as you like,"Big company, lots of organizational blockersTough to get clear decisions","Verified User Current Employee M***** Sales - Apr 7, 2021",
4,I want to keep working from home,"People are smart, many are nice tooWork life balancePay is generous","I want to keep working from home, concentrating on the open office is so hard","Verified User Current Employee w***** Software Engineer - Apr 7, 2021",
5,Great WLB,"Great WLB, chill teammates and great work culture, work on interesting products at scale",Slow process (i.e. cross functional dependencies) and heavy emphasis on perf,"Verified User Current Employee D***** Software Engineer - Apr 7, 2021",
5,Great benefits and people,"People are awesome, so many resources , great security and comp","Beaurocratic, hard to make meaningful upside, oftentimes there are 10 people working on the same thing","Verified User Current Employee D********* Sales Strategy Manager - Apr 7, 2021",
5,Great work life balance,"Great wlb, good opportunities and great ppl. Leadership seems reasonable as well.","Slow promo maybe, do not know for sure yet but will see.","Verified User Current Employee d******* Engineering Manager II - Apr 7, 2021",
5,great work life balance,Great culture. Good job security and steady infra domain knowledge accumulation.,Lack of growth potentials. Comp is below market average and lack of growth potentials unless a good competing offer.,"Verified User Current Employee v***** Data Scientist - Apr 7, 2021",
4,Very team-specific experience,"Awesome compensation, especially benefitsInternal tooling is the best aroundWork environment is relaxed in generalFlexible work hours",Few growth opportunities if your product is not prioritizedLots of approvals and bureaucracy to struggle through in order to make significant changesMight be too relaxing for some peopleSome teams have lots of workplace politics,"Verified User Current Employee o***** Software Engineer - Apr 7, 2021",
4,Horrible WLB Poor Management and Decision Making,"Good career growth, smart people. Culture is wonderful and peers are laid back and chill.",Management makes stupid decisions. No real decision making power until L6-L7,"Verified User Current Employee s********* Business Intelligence Analyst - Apr 7, 2021",
4,"Come here to build career, Leave here for better trajectory","10y career at Google in the Workspace/Cloud orgs. Sales/Sales Leader. Joined early in my career and found it to be a very exciting pace/place to learn and incrementally increase wealth in early days. Very intelligent/capable team, plenty of important problems to work on. You will learn in every role/BU and will be challenged by pace of change and ambitious growth plans. Great early career company (entry level - 10y experience) or very late career company (30y+ exp entering as Dir/VP w/ equity heavy package) - if you're in the middle - proceed with caution.","Company has changed pretty dramatically on the inside over this time, still great overall but a lot less growth opportunity than there was in the earlier/scrappier days. Much more corporate feeling - and a lot of stale executive hiring over the last few years - the magic isnt there anymore. I've watched trajectories grow from MGR - Global Director in a matter of 2-3 years 2012-2017. Now it takes 2x longer with much more aggressive targets and workload. Work/Life balance feels impossible bc Google is a reward for performance company. Caveat is, everyone performs at the top of their game - so Google gets everyone's best and then forces a bell curve on performance rating/assessments (only recognizes some). If youre looking for stable pay and strong equity value/benefits and are ok with limited growth trajectory and feeling under rewarded for your contributions, I don't think you'll find many things to be upset about here! Great place to rest and vest, but be prepared to work hard for it.","Verified User Current Employee u********* Senior Regional Sales Manager - Apr 7, 2021",
4,"Awesome WLB, slow comp increases","Great place to work if what you're looking for is incremental gains, good WLB, or rest and vest","Big bureaucracy, messed up incentives, perf is largely decided by how much your manager likes you","Verified User Current Employee k****** Software Engineer II - Apr 7, 2021",
5,Love this company,"Great company overall, cares about employee and provides decent perks.","Lacking career growth, unless you're working on something really important.","Verified User Current Employee g**** Software Engineer - Apr 6, 2021",
4,Great company care individual engineers's feeling,"The culture of Google is to care individual engineers, including their happiniess and career growth.",Promoting on average takes a bit longer than FB/small companies.Project progress is hindered a bit by thourough (sometime overkilled) reviews.Compensation is not top tier unless you having competing offers.,"Verified User Current Employee z***** Senior Software Engineer - Apr 6, 2021",
4,"Good place to work, if you don't care be promoted","Smart, interesting employees. Stability, good work life balance, decent pay.","Hard to get promoted, most folks are happy to rest-and-vest.","Verified User Current Employee u***** Software Engineer - Apr 6, 2021",
4,Great management and career growth if you find the right team,"Management is human, flexible and great.Freedom to work on what you want.People are nice and smart.","Compensation is lower than other tier1Promotion process and perf is tedious.Pay lags behind at every step (no noogler refresh, perform L+1 for a year to get promo, wait a year before L+1 refresh after promo).Culture is degrading fast from prime google.Lots of corpspeak, lack of leadership.","Verified User Current Employee r******** Senior Software Engineer - Apr 6, 2021",
5,"Great wld, okay-ish career growth, good for ppl in their earlier career who want to learn things.","Great work life balance, good managers and culture, it's just like a university where you can learn a lot of things and be comfortable staying forever.","Slower growth in career; more talent ppl than projects, so normal eng can only work on not interesting projects. Also lower comp comparing other companies in bay area.","Verified User Current Employee S***** Senior Software Engineer - Apr 6, 2021",
5,Values are better than other big tech firms,Aggregation of strong talent across multiple disciplines. Mobility across teams.,Large company suffering from slow decision making and execution velocity.,"Verified User Current Employee U***** Product Manager - Apr 6, 2021",
4,Good WLB. Interesting challenges designing for multi-users and communal devices.,Work on features that have instant scale and media exposure.,Teams can be siloed and have turf wars when doing product development. Many re-orgs.,"Verified User Current Employee e********* UX Design Lead - Apr 6, 2021",
5,Great company but losing its luster,"Great people, top compensation and benefits, decent WLB, and looks very good on the resume","Promotion process is both opaque and tedious, management is extremely corporate, growing divide in the employee base","Verified User Current Employee K******* Senior Financial Analyst - Apr 6, 2021",
